ticket_id,created_at,resolved_at,updated_at,customer_id,channel,priority,category,assigned_team,status,first_response_minutes,csat_score,reopened_count,source_system,first_response_target_min,resolution_target_hours,resolution_hours,first_response_sla_met,resolution_sla_met,overall_sla_met,is_reopened,created_date,created_month,created_week
TKT00011,2025-03-24 16:56:00,2025-03-25 14:52:57,2025-03-25 14:52:57,CUST0235,Email,Low,Refund Request,Billing,Resolved,133,4.0,0,CRM,120,48,21.949166666666667,0,1,0,0,2025-03-24,2025-03,2025-03-24/2025-03-30
TKT00013,2025-01-21 12:30:00,2025-01-24 13:52:36,2025-01-24 13:52:36,CUST0155,Email,Low,Access Request,Account,Resolved,187,3.0,0,CRM,120,48,73.37666666666667,0,0,0,0,2025-01-21,2025-01,2025-01-20/2025-01-26
TKT00014,2025-03-30 13:44:00,2025-03-30 22:31:44,2025-03-30 22:31:44,CUST0064,Chat,High,Payment Failed,Billing,Resolved,16,4.0,1,Integration Dashboard,30,8,8.795555555555556,1,0,0,1,2025-03-30,2025-03,2025-03-24/2025-03-30
TKT00015,2025-04-24 13:58:00,2025-04-25 03:47:06,2025-04-25 03:47:06,CUST0035,Email,Medium,Invoice Issue,Billing,Resolved,18,4.0,1,Integration Dashboard,60,24,13.818333333333333,1,1,1,1,2025-04-24,2025-04,2025-04-21/2025-04-27
TKT00016,2025-01-22 09:01:00,,2025-01-24 20:01:00,CUST0270,Chat,Critical,Invoice Issue,Billing,Open,8,,0,Integration Dashboard,10,4,,1,,,0,2025-01-22,2025-01,2025-01-20/2025-01-26
TKT00017,2025-01-18 15:36:00,2025-01-19 06:15:26,2025-01-19 06:15:26,CUST0106,Web Form,Medium,Refund Request,Billing,Resolved,76,2.0,1,Support Portal,60,24,14.657222222222222,0,1,0,1,2025-01-18,2025-01,2025-01-13/2025-01-19
TKT00018,2025-02-18 21:11:00,2025-02-20 08:38:12,2025-02-20 08:38:12,CUST0216,Web Form,Low,Plan Change,Account,Resolved,187,2.0,0,Integration Dashboard,120,48,35.45333333333333,0,1,0,0,2025-02-18,2025-02,2025-02-17/2025-02-23
TKT00019,2025-04-20 12:04:00,2025-04-21 08:44:38,2025-04-21 08:44:38,CUST0150,API Monitoring,Low,Slow Performance,Technical,Resolved,133,2.0,0,CRM,120,48,20.677222222222223,0,1,0,0,2025-04-20,2025-04,2025-04-14/2025-04-20
TKT00020,2025-04-28 20:21:00,2025-04-29 21:56:52,2025-04-29 21:56:52,CUST0142,Web Form,Medium,Invoice Issue,Billing,Resolved,70,2.0,0,Support Portal,60,24,25.59777777777778,0,0,0,0,2025-04-28,2025-04,2025-04-28/2025-05-04
TKT00021,2025-06-08 16:53:00,2025-06-08 23:24:20,2025-06-08 23:24:20,CUST0092,Email,High,Access Request,Account,Resolved,14,3.0,0,CRM,30,8,6.522222222222222,1,1,1,0,2025-06-08,2025-06,2025-06-02/2025-06-08
TKT00022,2025-06-13 14:38:00,2025-06-16 16:24:50,2025-06-16 16:24:50,CUST0228,Email,Low,Slow Performance,Technical,Resolved,238,2.0,0,CRM,120,48,73.78055555555555,0,0,0,0,2025-06-13,2025-06,2025-06-09/2025-06-15
TKT00023,2025-06-25 20:50:00,2025-06-26 00:53:33,2025-06-26 00:53:33,CUST0020,Email,High,Application Bug,Technical,Resolved,28,4.0,0,Support Portal,30,8,4.059166666666667,1,1,1,0,2025-06-25,2025-06,2025-06-23/2025-06-29
TKT00024,2025-06-16 10:46:00,2025-06-16 15:53:12,2025-06-16 15:53:12,CUST0206,Email,High,Application Bug,Technical,Resolved,65,3.0,0,Support Portal,30,8,5.12,0,1,0,0,2025-06-16,2025-06,2025-06-16/2025-06-22
TKT00025,2025-04-21 21:54:00,2025-04-22 03:29:19,2025-04-22 03:29:19,CUST0020,Chat,High,Invoice Issue,Billing,Resolved,15,5.0,0,Support Portal,30,8,5.588611111111111,1,1,1,0,2025-04-21,2025-04,2025-04-21/2025-04-27
TKT00026,2025-05-25 12:28:00,2025-05-26 00:49:12,2025-05-26 00:49:12,CUST0232,Email,High,Application Bug,Technical,Resolved,21,4.0,0,Support Portal,30,8,12.353333333333333,1,0,0,0,2025-05-25,2025-05,2025-05-19/2025-05-25
TKT00027,2025-01-21 19:24:00,2025-01-23 13:35:31,2025-01-23 13:35:31,CUST0120,Email,Low,Account Closure,Account,Resolved,152,3.0,0,Support Portal,120,48,42.191944444444445,0,1,0,0,2025-01-21,2025-01,2025-01-20/2025-01-26
TKT00028,2025-01-17 12:14:00,2025-01-18 23:14:35,2025-01-18 23:14:35,CUST0085,Chat,Low,Webhook Failure,Integrations,Resolved,83,4.0,0,Support Portal,120,48,35.00972222222222,1,1,1,0,2025-01-17,2025-01,2025-01-13/2025-01-19
TKT00029,2025-02-21 18:13:00,,2025-02-22 14:13:00,CUST0158,Email,Medium,OAuth Issue,Integrations,Open,124,,0,CRM,60,24,,0,,,0,2025-02-21,2025-02,2025-02-17/2025-02-23
TKT00030,2025-02-12 21:54:00,2025-02-13 13:53:17,2025-02-13 13:53:17,CUST0240,Web Form,Medium,Application Bug,Technical,Resolved,32,4.0,0,CRM,60,24,15.988055555555556,1,1,1,0,2025-02-12,2025-02,2025-02-10/2025-02-16
TKT00031,2025-04-19 11:45:00,2025-04-20 14:44:04,2025-04-20 14:44:04,CUST0042,Web Form,Low,Webhook Failure,Integrations,Resolved,145,3.0,1,Support Portal,120,48,26.984444444444446,0,1,0,1,2025-04-19,2025-04,2025-04-14/2025-04-20
TKT00032,2025-01-13 07:14:00,2025-01-13 12:31:18,2025-01-13 12:31:18,CUST0124,Email,High,Account Closure,Account,Resolved,32,5.0,0,Integration Dashboard,30,8,5.288333333333333,0,1,0,0,2025-01-13,2025-01,2025-01-13/2025-01-19
TKT00033,2025-01-10 08:29:00,2025-01-10 11:55:34,2025-01-10 11:55:34,CUST0014,Email,High,OAuth Issue,Integrations,Resolved,24,5.0,0,Integration Dashboard,30,8,3.4427777777777777,1,1,1,0,2025-01-10,2025-01,2025-01-06/2025-01-12
TKT00034,2025-06-22 21:19:00,,2025-06-25 09:19:00,CUST0144,Chat,Medium,Unknown,Billing,Open,42,,0,Support Portal,60,24,,1,,,0,2025-06-22,2025-06,2025-06-16/2025-06-22
TKT00035,2025-06-10 19:07:00,,2025-06-12 11:07:00,CUST0092,Email,Medium,Refund Request,Billing,Pending,86,,0,Support Portal,60,24,,0,,,0,2025-06-10,2025-06,2025-06-09/2025-06-15
TKT00036,2025-05-05 07:14:00,,2025-05-07 07:14:00,CUST0289,Email,Low,Application Bug,Technical,Open,50,,0,Support Portal,120,48,,1,,,0,2025-05-05,2025-05,2025-05-05/2025-05-11
TKT00037,2025-02-11 12:05:00,2025-02-14 23:51:40,2025-02-14 23:51:40,CUST0258,Chat,Low,Access Request,Account,Resolved,146,3.0,0,Integration Dashboard,120,48,83.77777777777777,0,0,0,0,2025-02-11,2025-02,2025-02-10/2025-02-16
TKT00038,2025-01-31 08:14:00,2025-02-02 12:44:20,2025-02-02 12:44:20,CUST0282,Web Form,Low,Invoice Issue,Billing,Resolved,54,3.0,1,CRM,120,48,52.50555555555555,1,0,0,1,2025-01-31,2025-01,2025-01-27/2025-02-02
TKT00039,2025-03-20 17:38:00,2025-03-21 13:34:27,2025-03-21 13:34:27,CUST0205,Email,Low,OAuth Issue,Integrations,Resolved,329,4.0,0,Integration Dashboard,120,48,19.940833333333334,0,1,0,0,2025-03-20,2025-03,2025-03-17/2025-03-23
TKT00040,2025-06-12 12:46:00,,2025-06-14 21:46:00,CUST0116,Web Form,Medium,Application Bug,Technical,Open,30,,0,Support Portal,60,24,,1,,,0,2025-06-12,2025-06,2025-06-09/2025-06-15
TKT00041,2025-06-15 12:57:00,,2025-06-18 06:57:00,CUST0122,Chat,Medium,Webhook Failure,Integrations,Open,116,,0,Support Portal,60,24,,0,,,0,2025-06-15,2025-06,2025-06-09/2025-06-15
TKT00042,2025-05-04 07:25:00,2025-05-04 12:01:44,2025-05-04 12:01:44,CUST0239,Email,Critical,Webhook Failure,Integrations,Resolved,4,2.0,0,Support Portal,10,4,4.612222222222222,1,0,0,0,2025-05-04,2025-05,2025-04-28/2025-05-04
TKT00043,2025-03-17 17:44:00,2025-03-18 10:08:20,2025-03-18 10:08:20,CUST0227,API Monitoring,High,Access Request,Account,Resolved,14,3.0,0,CRM,30,8,16.405555555555555,1,0,0,0,2025-03-17,2025-03,2025-03-17/2025-03-23
TKT00044,2025-04-19 18:48:00,,2025-04-20 10:48:00,CUST0099,API Monitoring,Low,Slow Performance,Technical,Pending,71,,0,CRM,120,48,,1,,,0,2025-04-19,2025-04,2025-04-14/2025-04-20
TKT00045,2025-01-10 21:15:00,2025-01-13 04:44:31,2025-01-13 04:44:31,CUST0063,API Monitoring,Low,OAuth Issue,Integrations,Resolved,156,3.0,0,Support Portal,120,48,55.49194444444444,0,0,0,0,2025-01-10,2025-01,2025-01-06/2025-01-12
TKT00046,2025-01-22 15:39:00,,2025-01-24 15:39:00,CUST0074,Chat,Medium,API Error,Integrations,Pending,82,,0,CRM,60,24,,0,,,0,2025-01-22,2025-01,2025-01-20/2025-01-26
TKT00047,2025-04-03 21:50:00,2025-04-04 14:23:26,2025-04-04 14:23:26,CUST0062,API Monitoring,Medium,Slow Performance,Technical,Resolved,124,2.0,0,Integration Dashboard,60,24,16.557222222222222,0,1,0,0,2025-04-03,2025-04,2025-03-31/2025-04-06
TKT00048,2025-01-10 15:23:00,2025-01-10 21:15:09,2025-01-10 21:15:09,CUST0219,Web Form,High,OAuth Issue,Integrations,Resolved,35,3.0,0,CRM,30,8,5.869166666666667,0,1,0,0,2025-01-10,2025-01,2025-01-06/2025-01-12
TKT00049,2025-06-11 11:25:00,,2025-06-14 04:25:00,CUST0101,Email,Low,Refund Request,Billing,Pending,62,,0,Support Portal,120,48,,1,,,0,2025-06-11,2025-06,2025-06-09/2025-06-15
TKT00050,2025-01-19 08:01:00,,2025-01-19 20:01:00,CUST0234,Email,High,Plan Change,Account,Open,15,,0,Support Portal,30,8,,1,,,0,2025-01-19,2025-01,2025-01-13/2025-01-19
TKT00051,2025-01-01 08:59:00,2025-01-02 15:17:22,2025-01-02 15:17:22,CUST0247,Chat,Medium,Webhook Failure,Integrations,Resolved,32,4.0,0,Support Portal,60,24,30.30611111111111,1,0,0,0,2025-01-01,2025-01,2024-12-30/2025-01-05
TKT00052,2025-05-14 19:40:00,,2025-05-16 21:40:00,CUST0117,Chat,Medium,Webhook Failure,Integrations,Pending,31,,0,Support Portal,60,24,,1,,,0,2025-05-14,2025-05,2025-05-12/2025-05-18
TKT00053,2025-06-18 14:56:00,2025-06-19 17:50:46,2025-06-19 17:50:46,CUST0091,Email,High,API Error,Integrations,Resolved,28,2.0,1,Support Portal,30,8,26.912777777777777,1,0,0,1,2025-06-18,2025-06,2025-06-16/2025-06-22
TKT00054,2025-01-03 08:37:00,2025-01-03 11:55:44,2025-01-03 11:55:44,CUST0223,Web Form,Critical,Webhook Failure,Integrations,Resolved,12,4.0,0,Support Portal,10,4,3.312222222222222,0,1,0,0,2025-01-03,2025-01,2024-12-30/2025-01-05
TKT00055,2025-05-31 15:16:00,,2025-06-01 06:16:00,CUST0120,API Monitoring,Low,Login Issue,Technical,Open,69,,0,Support Portal,120,48,,1,,,0,2025-05-31,2025-05,2025-05-26/2025-06-01
TKT00056,2025-06-28 15:50:00,2025-06-30 15:12:42,2025-06-30 15:12:42,CUST0111,Chat,Low,Plan Change,Account,Resolved,164,3.0,0,Support Portal,120,48,47.37833333333333,0,1,0,0,2025-06-28,2025-06,2025-06-23/2025-06-29
TKT00057,2025-06-30 09:25:00,,2025-07-02 22:25:00,CUST0259,Email,Medium,Invoice Issue,Billing,Pending,24,,0,Integration Dashboard,60,24,,1,,,0,2025-06-30,2025-06,2025-06-30/2025-07-06
TKT00058,2025-03-19 08:38:00,2025-03-22 01:29:39,2025-03-22 01:29:39,CUST0231,Email,Low,Access Request,Account,Resolved,105,3.0,0,Support Portal,120,48,64.86083333333333,1,0,0,0,2025-03-19,2025-03,2025-03-17/2025-03-23
TKT00059,2025-06-13 09:42:00,2025-06-13 17:53:54,2025-06-13 17:53:54,CUST0020,Email,High,Application Bug,Technical,Resolved,23,4.0,0,Support Portal,30,8,8.198333333333334,1,0,0,0,2025-06-13,2025-06,2025-06-09/2025-06-15
TKT00060,2025-05-28 08:12:00,2025-05-28 13:48:29,2025-05-28 13:48:29,CUST0285,Chat,Medium,Login Issue,Technical,Resolved,68,4.0,0,Integration Dashboard,60,24,5.608055555555556,0,1,0,0,2025-05-28,2025-05,2025-05-26/2025-06-01
TKT00061,2025-04-15 16:53:00,2025-04-17 08:45:47,2025-04-17 08:45:47,CUST0091,Chat,Low,Invoice Issue,Billing,Resolved,174,3.0,1,Integration Dashboard,120,48,39.87972222222222,0,1,0,1,2025-04-15,2025-04,2025-04-14/2025-04-20
TKT00062,2025-05-14 14:15:00,,2025-05-17 05:15:00,CUST0219,API Monitoring,Low,Slow Performance,Technical,Open,60,,0,CRM,120,48,,1,,,0,2025-05-14,2025-05,2025-05-12/2025-05-18
TKT00063,2025-02-04 21:57:00,,2025-02-05 14:57:00,CUST0253,API Monitoring,Medium,Login Issue,Technical,Open,152,,0,CRM,60,24,,0,,,0,2025-02-04,2025-02,2025-02-03/2025-02-09
TKT00064,2025-06-20 14:49:00,,2025-06-21 08:49:00,CUST0035,API Monitoring,High,Invoice Issue,Billing,Open,43,,0,Support Portal,30,8,,0,,,0,2025-06-20,2025-06,2025-06-16/2025-06-22
TKT00065,2025-06-12 13:53:00,2025-06-14 02:53:20,2025-06-14 02:53:20,CUST0102,Web Form,Low,Slow Performance,Technical,Resolved,50,4.0,0,Support Portal,120,48,37.00555555555555,1,1,1,0,2025-06-12,2025-06,2025-06-09/2025-06-15
TKT00066,2025-03-23 19:25:00,2025-03-28 02:22:45,2025-03-28 02:22:45,CUST0084,Web Form,Low,Application Bug,Technical,Resolved,70,3.0,0,Support Portal,120,48,102.9625,1,0,0,0,2025-03-23,2025-03,2025-03-17/2025-03-23
TKT00067,2025-05-20 19:39:00,,2025-05-22 04:39:00,CUST0107,Web Form,High,Invoice Issue,Billing,Pending,56,,0,Support Portal,30,8,,0,,,0,2025-05-20,2025-05,2025-05-19/2025-05-25
TKT00068,2025-04-09 11:24:00,2025-04-11 13:23:40,2025-04-11 13:23:40,CUST0287,Web Form,Low,Application Bug,Technical,Resolved,113,4.0,0,Support Portal,120,48,49.99444444444445,1,0,0,0,2025-04-09,2025-04,2025-04-07/2025-04-13
TKT00069,2025-05-20 17:45:00,2025-05-21 01:16:24,2025-05-21 01:16:24,CUST0205,Email,Medium,Slow Performance,Technical,Resolved,29,5.0,0,CRM,60,24,7.523333333333333,1,1,1,0,2025-05-20,2025-05,2025-05-19/2025-05-25
TKT00070,2025-02-18 13:14:00,2025-02-19 20:39:46,2025-02-19 20:39:46,CUST0142,Email,Low,Webhook Failure,Integrations,Resolved,33,4.0,0,Support Portal,120,48,31.429444444444446,1,1,1,0,2025-02-18,2025-02,2025-02-17/2025-02-23
TKT00071,2025-05-25 16:45:00,2025-05-27 02:28:34,2025-05-27 02:28:34,CUST0021,API Monitoring,Medium,Access Request,Account,Resolved,83,4.0,0,Support Portal,60,24,33.72611111111111,0,0,0,0,2025-05-25,2025-05,2025-05-19/2025-05-25
TKT00072,2025-04-16 07:01:00,2025-04-17 17:14:21,2025-04-17 17:14:21,CUST0066,Email,Medium,Plan Change,Account,Resolved,27,2.0,0,Support Portal,60,24,34.2225,1,0,0,0,2025-04-16,2025-04,2025-04-14/2025-04-20
TKT00073,2025-01-01 21:49:00,2025-01-03 05:19:27,2025-01-03 05:19:27,CUST0164,Email,Medium,Refund Request,Billing,Resolved,68,5.0,1,Support Portal,60,24,31.5075,0,0,0,1,2025-01-01,2025-01,2024-12-30/2025-01-05
TKT00074,2025-03-01 17:25:00,2025-03-02 08:08:11,2025-03-02 08:08:11,CUST0287,Web Form,Medium,Account Closure,Account,Resolved,86,4.0,0,Support Portal,60,24,14.719722222222222,0,1,0,0,2025-03-01,2025-03,2025-02-24/2025-03-02
TKT00075,2025-01-31 13:05:00,,2025-02-01 12:05:00,CUST0048,Chat,Medium,Payment Failed,Billing,Open,143,,0,Support Portal,60,24,,0,,,0,2025-01-31,2025-01,2025-01-27/2025-02-02
TKT00076,2025-03-27 12:44:00,2025-03-27 20:09:50,2025-03-27 20:09:50,CUST0184,Chat,High,Login Issue,Technical,Resolved,12,4.0,1,Integration Dashboard,30,8,7.430555555555555,1,1,1,1,2025-03-27,2025-03,2025-03-24/2025-03-30
TKT00077,2025-05-17 11:05:00,2025-05-18 01:13:20,2025-05-18 01:13:20,CUST0231,Chat,Medium,Refund Request,Billing,Resolved,45,4.0,0,Support Portal,60,24,14.13888888888889,1,1,1,0,2025-05-17,2025-05,2025-05-12/2025-05-18
TKT00078,2025-01-17 14:44:00,2025-01-18 07:49:22,2025-01-18 07:49:22,CUST0041,API Monitoring,Medium,Application Bug,Technical,Resolved,33,4.0,0,CRM,60,24,17.089444444444446,1,1,1,0,2025-01-17,2025-01,2025-01-13/2025-01-19
TKT00079,2025-03-15 11:55:00,2025-03-16 20:48:24,2025-03-16 20:48:24,CUST0026,Chat,Low,Webhook Failure,Integrations,Resolved,105,4.0,0,Integration Dashboard,120,48,32.89,1,1,1,0,2025-03-15,2025-03,2025-03-10/2025-03-16
TKT00080,2025-03-02 16:48:00,,2025-03-04 11:48:00,CUST0070,Web Form,Critical,Access Request,Account,Open,7,,0,Support Portal,10,4,,1,,,0,2025-03-02,2025-03,2025-02-24/2025-03-02
TKT00081,2025-04-28 20:49:00,2025-04-29 09:31:41,2025-04-29 09:31:41,CUST0122,Chat,Medium,Access Request,Account,Resolved,24,2.0,0,CRM,60,24,12.711388888888889,1,1,1,0,2025-04-28,2025-04,2025-04-28/2025-05-04
TKT00082,2025-05-30 19:44:00,2025-06-01 17:30:22,2025-06-01 17:30:22,CUST0006,Web Form,Medium,OAuth Issue,Integrations,Resolved,71,3.0,0,Integration Dashboard,60,24,45.772777777777776,0,0,0,0,2025-05-30,2025-05,2025-05-26/2025-06-01
TKT00083,2025-02-23 21:33:00,2025-02-25 12:03:23,2025-02-25 12:03:23,CUST0291,Email,Low,Access Request,Account,Resolved,223,4.0,0,Support Portal,120,48,38.506388888888885,0,1,0,0,2025-02-23,2025-02,2025-02-17/2025-02-23
TKT00084,2025-04-29 15:42:00,,2025-05-01 15:42:00,CUST0099,Email,Medium,OAuth Issue,Integrations,Open,94,,0,Support Portal,60,24,,0,,,0,2025-04-29,2025-04,2025-04-28/2025-05-04
TKT00085,2025-01-29 21:19:00,,2025-01-30 20:19:00,CUST0096,Chat,Critical,Login Issue,Technical,Pending,6,,0,Support Portal,10,4,,1,,,0,2025-01-29,2025-01,2025-01-27/2025-02-02
TKT00086,2025-01-01 11:06:00,2025-01-03 17:32:30,2025-01-03 17:32:30,CUST0251,Chat,Medium,Slow Performance,Technical,Resolved,52,4.0,0,Integration Dashboard,60,24,54.44166666666667,1,0,0,0,2025-01-01,2025-01,2024-12-30/2025-01-05
TKT00087,2025-01-26 10:59:00,2025-01-27 18:49:44,2025-01-27 18:49:44,CUST0168,Web Form,Low,Account Closure,Account,Resolved,107,4.0,0,CRM,120,48,31.845555555555556,1,1,1,0,2025-01-26,2025-01,2025-01-20/2025-01-26
TKT00088,2025-04-11 14:59:00,,2025-04-12 16:59:00,CUST0282,Chat,High,OAuth Issue,Integrations,Open,19,,0,CRM,30,8,,1,,,0,2025-04-11,2025-04,2025-04-07/2025-04-13
TKT00089,2025-03-24 15:30:00,2025-03-25 12:18:01,2025-03-25 12:18:01,CUST0263,API Monitoring,Medium,Access Request,Account,Resolved,53,4.0,0,Support Portal,60,24,20.80027777777778,1,1,1,0,2025-03-24,2025-03,2025-03-24/2025-03-30
TKT00090,2025-05-03 14:29:00,2025-05-03 20:24:59,2025-05-03 20:24:59,CUST0115,Email,High,API Error,Integrations,Resolved,16,4.0,0,Support Portal,30,8,5.933055555555556,1,1,1,0,2025-05-03,2025-05,2025-04-28/2025-05-04
TKT00091,2025-01-18 16:36:00,2025-01-19 00:57:17,2025-01-19 00:57:17,CUST0035,Email,High,Webhook Failure,Integrations,Resolved,8,4.0,0,Integration Dashboard,30,8,8.354722222222222,1,0,0,0,2025-01-18,2025-01,2025-01-13/2025-01-19
TKT00092,2025-04-26 16:38:00,2025-04-27 02:43:53,2025-04-27 02:43:53,CUST0187,Chat,Medium,OAuth Issue,Integrations,Resolved,32,3.0,0,Integration Dashboard,60,24,10.098055555555556,1,1,1,0,2025-04-26,2025-04,2025-04-21/2025-04-27
TKT00093,2025-03-04 12:33:00,2025-03-05 05:57:27,2025-03-05 05:57:27,CUST0130,Email,Medium,Access Request,Account,Resolved,86,1.0,0,Integration Dashboard,60,24,17.4075,0,1,0,0,2025-03-04,2025-03,2025-03-03/2025-03-09
TKT00094,2025-05-12 17:42:00,2025-05-13 20:19:03,2025-05-13 20:19:03,CUST0224,Web Form,Medium,Login Issue,Technical,Resolved,92,3.0,0,Support Portal,60,24,26.6175,0,0,0,0,2025-05-12,2025-05,2025-05-12/2025-05-18
TKT00095,2025-02-01 17:01:00,,2025-02-03 14:01:00,CUST0067,Web Form,Low,API Error,Integrations,Pending,94,,0,CRM,120,48,,1,,,0,2025-02-01,2025-02,2025-01-27/2025-02-02
TKT00096,2025-06-19 11:43:00,2025-06-19 20:26:41,2025-06-19 20:26:41,CUST0009,Chat,High,Slow Performance,Technical,Resolved,50,2.0,0,CRM,30,8,8.728055555555555,0,0,0,0,2025-06-19,2025-06,2025-06-16/2025-06-22
TKT00097,2025-04-30 11:30:00,2025-05-01 20:25:33,2025-05-01 20:25:33,CUST0165,API Monitoring,Low,Payment Failed,Billing,Resolved,175,3.0,0,Support Portal,120,48,32.92583333333334,0,1,0,0,2025-04-30,2025-04,2025-04-28/2025-05-04
TKT00098,2025-01-16 08:50:00,,2025-01-17 20:50:00,CUST0015,Email,Medium,Slow Performance,Technical,Open,33,,0,Integration Dashboard,60,24,,1,,,0,2025-01-16,2025-01,2025-01-13/2025-01-19
TKT00099,2025-05-19 11:06:00,2025-05-20 06:33:31,2025-05-20 06:33:31,CUST0195,Chat,High,Plan Change,Account,Resolved,36,3.0,0,Support Portal,30,8,19.45861111111111,0,0,0,0,2025-05-19,2025-05,2025-05-19/2025-05-25
TKT00100,2025-04-24 08:57:00,2025-04-24 21:28:00,2025-04-24 21:28:00,CUST0296,Email,Medium,Login Issue,Technical,Resolved,54,5.0,0,Support Portal,60,24,12.516666666666667,1,1,1,0,2025-04-24,2025-04,2025-04-21/2025-04-27
TKT00101,2025-06-03 15:57:00,2025-06-03 22:20:10,2025-06-03 22:20:10,CUST0100,Web Form,High,Login Issue,Technical,Resolved,27,4.0,0,CRM,30,8,6.386111111111111,1,1,1,0,2025-06-03,2025-06,2025-06-02/2025-06-08
TKT00102,2025-03-20 12:41:00,2025-03-22 02:32:09,2025-03-22 02:32:09,CUST0122,Chat,Low,Invoice Issue,Billing,Resolved,156,3.0,0,CRM,120,48,37.8525,0,1,0,0,2025-03-20,2025-03,2025-03-17/2025-03-23
TKT00103,2025-05-04 07:50:00,2025-05-05 08:22:48,2025-05-05 08:22:48,CUST0029,API Monitoring,Low,Refund Request,Billing,Resolved,76,4.0,0,Support Portal,120,48,24.546666666666667,1,1,1,0,2025-05-04,2025-05,2025-04-28/2025-05-04
TKT00104,2025-01-28 07:04:00,,2025-01-30 22:04:00,CUST0012,API Monitoring,Medium,Application Bug,Technical,Open,62,,0,Support Portal,60,24,,0,,,0,2025-01-28,2025-01,2025-01-27/2025-02-02
TKT00105,2025-03-16 15:32:00,2025-03-16 18:01:38,2025-03-16 18:01:38,CUST0275,Web Form,Critical,Plan Change,Account,Resolved,12,5.0,1,Support Portal,10,4,2.493888888888889,0,1,0,1,2025-03-16,2025-03,2025-03-10/2025-03-16
TKT00106,2025-03-14 08:04:00,2025-03-14 21:24:06,2025-03-14 21:24:06,CUST0074,Email,Medium,Login Issue,Technical,Resolved,66,5.0,0,Support Portal,60,24,13.335,0,1,0,0,2025-03-14,2025-03,2025-03-10/2025-03-16
TKT00107,2025-06-02 21:08:00,,2025-06-03 20:08:00,CUST0102,Email,Low,Account Closure,Account,Open,80,,0,CRM,120,48,,1,,,0,2025-06-02,2025-06,2025-06-02/2025-06-08
TKT00108,2025-05-07 19:04:00,2025-05-08 07:15:21,2025-05-08 07:15:21,CUST0186,Web Form,Medium,Account Closure,Account,Resolved,110,3.0,0,Support Portal,60,24,12.189166666666667,0,1,0,0,2025-05-07,2025-05,2025-05-05/2025-05-11
TKT00109,2025-02-06 10:41:00,2025-02-07 19:34:30,2025-02-07 19:34:30,CUST0261,Chat,Medium,API Error,Integrations,Resolved,87,3.0,0,Support Portal,60,24,32.891666666666666,0,0,0,0,2025-02-06,2025-02,2025-02-03/2025-02-09
