ticket_id,created_at,resolved_at,updated_at,customer_id,channel,priority,category,assigned_team,status,first_response_minutes,csat_score,reopened_count,source_system
TKT00034,2025-06-22 21:19:00,,2025-06-25 09:19:00,CUST0144,Chat,Medium,,Billing,Open,42,,0,Support Portal
TKT00035,2025-06-10 19:07:00,,2025-06-12 11:07:00,CUST0092,Email,Medium,Refund Request,Billing,Pending,86,,0,Support Portal
TKT00036,2025-05-05 07:14:00,,2025-05-07 07:14:00,CUST0289,Email,Low,Application Bug,Technical,Open,50,,0,Support Portal
TKT00037,2025-02-11 12:05:00,2025-02-14 23:51:40,2025-02-14 23:51:40,CUST0258,Chat,Low,Access Request,Account,Resolved,146,3.0,0,Integration Dashboard
TKT00038,2025-01-31 08:14:00,2025-02-02 12:44:20,2025-02-02 12:44:20,CUST0282,Web Form,Low,Invoice Issue,Billing,Resolved,54,3.0,1,CRM
TKT00039,2025-03-20 17:38:00,2025-03-21 13:34:27,2025-03-21 13:34:27,CUST0205,Email,Low,OAuth Issue,Integrations,Resolved,329,4.0,0,Integration Dashboard
TKT00040,2025-06-12 12:46:00,,2025-06-14 21:46:00,CUST0116,Web Form,Medium,Application Bug,Technical,Open,30,,0,Support Portal
TKT00041,2025-06-15 12:57:00,,2025-06-18 06:57:00,CUST0122,Chat,Medium,Webhook Failure,Integrations,Open,116,,0,Support Portal
TKT00042,2025-05-04 07:25:00,2025-05-04 12:01:44,2025-05-04 12:01:44,CUST0239,Email,Critical,Webhook Failure,Integrations,Resolved,4,2.0,0,Support Portal
TKT00043,2025-03-17 17:44:00,2025-03-18 10:08:20,2025-03-18 10:08:20,CUST0227,API Monitoring,High,Access Request,Account,Resolved,14,3.0,0,CRM
TKT00044,2025-04-19 18:48:00,,2025-04-20 10:48:00,CUST0099,API Monitoring,Low,Slow Performance,Technical,Pending,71,,0,CRM
TKT00045,2025-01-10 21:15:00,2025-01-13 04:44:31,2025-01-13 04:44:31,CUST0063,API Monitoring,Low,OAuth Issue,Integrations,Resolved,156,3.0,0,Support Portal
TKT00046,2025-01-22 15:39:00,,2025-01-24 15:39:00,CUST0074,Chat,Medium,API Error,Integrations,Pending,82,,0,CRM
TKT00047,2025-04-03 21:50:00,2025-04-04 14:23:26,2025-04-04 14:23:26,CUST0062,API Monitoring,Medium,Slow Performance,Technical,Resolved,124,2.0,0,Integration Dashboard
TKT00048,2025-01-10 15:23:00,2025-01-10 21:15:09,2025-01-10 21:15:09,CUST0219,Web Form,High,OAuth Issue,Integrations,Resolved,35,3.0,0,CRM
TKT00049,2025-06-11 11:25:00,,2025-06-14 04:25:00,CUST0101,Email,Low,Refund Request,Billing,Pending,62,,0,Support Portal
TKT00050,2025-01-19 08:01:00,,2025-01-19 20:01:00,CUST0234,Email,High,Plan Change,Account,Open,15,,0,Support Portal
TKT00051,2025-01-01 08:59:00,2025-01-02 15:17:22,2025-01-02 15:17:22,CUST0247,Chat,Medium,Webhook Failure,Integrations,Resolved,32,4.0,0,Support Portal
TKT00052,2025-05-14 19:40:00,,2025-05-16 21:40:00,CUST0117,Chat,Medium,Webhook Failure,Integrations,Pending,31,,0,Support Portal
TKT00053,2025-06-18 14:56:00,2025-06-19 17:50:46,2025-06-19 17:50:46,CUST0091,Email,High,API Error,Integrations,Resolved,28,2.0,1,Support Portal
TKT00054,2025-01-03 08:37:00,2025-01-03 11:55:44,2025-01-03 11:55:44,CUST0223,Web Form,Critical,Webhook Failure,Integrations,Resolved,12,4.0,0,Support Portal
TKT00055,2025-05-31 15:16:00,,2025-06-01 06:16:00,CUST0120,API Monitoring,Low,Login Issue,Technical,Open,69,,0,Support Portal
TKT00056,2025-06-28 15:50:00,2025-06-30 15:12:42,2025-06-30 15:12:42,CUST0111,Chat, low ,Plan Change,Account,Resolved,164,3.0,0,Support Portal
TKT00057,30/06/2025 09:25,,2025-07-02 22:25:00,CUST0259,Email,Medium,Invoice Issue,Billing,Pending,24,,0,Integration Dashboard
TKT00058,2025-03-19 08:38:00,2025-03-22 01:29:39,2025-03-22 01:29:39,CUST0231,Email,Low,Access Request,Account,resolved,105,3.0,0,Support Portal
TKT00059,2025-06-13 09:42:00,2025-06-13 17:53:54,2025-06-13 17:53:54,CUST0020,Email,High,Application Bug,Technical,Resolved,23,4.0,0,Support Portal
TKT00060,2025-05-28 08:12:00,2025-05-28 13:48:29,2025-05-28 13:48:29,CUST0285,Chat,Medium,Login Issue,Technical,Resolved,68,4.0,0,Integration Dashboard
TKT00061,2025-04-15 16:53:00,2025-04-17 08:45:47,2025-04-17 08:45:47,CUST0091,Chat,Low,Invoice Issue,Billing,Resolved,174,3.0,1,Integration Dashboard
TKT00062,2025-05-14 14:15:00,,2025-05-17 05:15:00,CUST0219,API Monitoring, low ,Slow Performance,Technical,open,60,,0,CRM
TKT00063,2025-02-04 21:57:00,,2025-02-05 14:57:00,CUST0253,API Monitoring,Medium,Login Issue,Technical,Open,152,,0,CRM
TKT00064,2025-06-20 14:49:00,,2025-06-21 08:49:00,CUST0035,API Monitoring,High,Invoice Issue,Billing,Open,43,,0,Support Portal
TKT00065,2025-06-12 13:53:00,2025-06-14 02:53:20,2025-06-14 02:53:20,CUST0102,Web Form,Low,Slow Performance,Technical,Resolved,50,4.0,0,Support Portal
TKT00066,2025-03-23 19:25:00,2025-03-28 02:22:45,2025-03-28 02:22:45,CUST0084,Web Form,Low,Application Bug,Technical,Resolved,70,3.0,0,Support Portal
TKT00067,2025-05-20 19:39:00,,2025-05-22 04:39:00,CUST0107,Web Form,High,Invoice Issue,Billing,Pending,56,,0,Support Portal
TKT00068,2025-04-09 11:24:00,2025-04-11 13:23:40,2025-04-11 13:23:40,CUST0287,Web Form,Low,Application Bug,Technical,Resolved,113,4.0,0,Support Portal
TKT00069,2025-05-20 17:45:00,2025-05-21 01:16:24,2025-05-21 01:16:24,CUST0205,Email,Medium,Slow Performance,Technical,Resolved,29,5.0,0,CRM
TKT00070,2025-02-18 13:14:00,2025-02-19 20:39:46,2025-02-19 20:39:46,CUST0142,Email,Low,Webhook Failure,Integrations,Resolved,33,4.0,0,Support Portal
TKT00071,2025-05-25 16:45:00,2025-05-27 02:28:34,2025-05-27 02:28:34,CUST0021,API Monitoring, medium ,Access Request,Account,Resolved,83,4.0,0,Support Portal
TKT00072,Apr 16 2025 07:01,2025-04-17 17:14:21,2025-04-17 17:14:21,CUST0066,Email,Medium,Plan Change,ACCOUNT ,Resolved,27,2.0,0,Support Portal
TKT00073,2025-01-01 21:49:00,2025-01-03 05:19:27,2025-01-03 05:19:27,CUST0164,Email,Medium,Refund Request,Billing,Resolved,68,5.0,1,Support Portal
TKT00074,2025-03-01 17:25:00,2025-03-02 08:08:11,2025-03-02 08:08:11,CUST0287,Web Form,Medium,Account Closure,Account,Resolved,86,4.0,0,Support Portal
TKT00075,2025-01-31 13:05:00,,2025-02-01 12:05:00,CUST0048,Chat, medium ,Payment Failed,Billing,Open,143,,0,Support Portal
TKT00076,2025-03-27 12:44:00,2025-03-27 20:09:50,2025-03-27 20:09:50,CUST0184,Chat,High,Login Issue,Technical,Resolved,12,4.0,1,Integration Dashboard
TKT00077,2025-05-17 11:05:00,2025-05-18 01:13:20,2025-05-18 01:13:20,CUST0231,Chat, medium ,Refund Request,Billing,Resolved,45,4.0,0,Support Portal
TKT00078,2025-01-17 14:44:00,2025-01-18 07:49:22,2025-01-18 07:49:22,CUST0041,API Monitoring,Medium,Application Bug,Technical,Resolved,33,4.0,0,CRM
TKT00079,2025-03-15 11:55:00,2025-03-16 20:48:24,2025-03-16 20:48:24,CUST0026,Chat, low ,Webhook Failure,Integrations,Resolved,105,4.0,0,Integration Dashboard
TKT00080,2025-03-02 16:48:00,,2025-03-04 11:48:00,CUST0070,Web Form,Critical,Access Request,Account,Open,7,,0,Support Portal
TKT00081,2025-04-28 20:49:00,2025-04-29 09:31:41,2025-04-29 09:31:41,CUST0122,Chat,Medium,Access Request,Account,Resolved,24,2.0,0,CRM
TKT00082,2025-05-30 19:44:00,2025-06-01 17:30:22,2025-06-01 17:30:22,CUST0006,Web Form,Medium,OAuth Issue,Integrations,Resolved,71,3.0,0,Integration Dashboard
TKT00083,2025-02-23 21:33:00,2025-02-25 12:03:23,2025-02-25 12:03:23,CUST0291,Email, low ,Access Request,Account,Resolved,223,4.0,0,Support Portal
TKT00084,2025-04-29 15:42:00,,2025-05-01 15:42:00,CUST0099,Email,Medium,OAuth Issue,Integrations,Open,94,,0,Support Portal
TKT00085,2025-01-29 21:19:00,,2025-01-30 20:19:00,CUST0096,Chat,Critical,Login Issue,Technical,Pending,6,,0,Support Portal
TKT00086,2025-01-01 11:06:00,2025-01-03 17:32:30,2025-01-03 17:32:30,CUST0251,Chat,Medium,Slow Performance,Technical,Resolved,52,4.0,0,Integration Dashboard
TKT00087,2025-01-26 10:59:00,2025-01-27 18:49:44,2025-01-27 18:49:44,CUST0168,Web Form,Low,Account Closure,Account,Resolved,107,4.0,0,CRM
TKT00088,Apr 11 2025 14:59,,2025-04-12 16:59:00,CUST0282,Chat,High,OAuth Issue,Integrations,Open,19,,0,CRM
TKT00089,2025-03-24 15:30:00,2025-03-25 12:18:01,2025-03-25 12:18:01,CUST0263,API Monitoring,Medium,Access Request,Account,Resolved,53,4.0,0,Support Portal
TKT00090,2025-05-03 14:29:00,2025-05-03 20:24:59,2025-05-03 20:24:59,CUST0115,Email,High,API Error,Integrations,Resolved,16,4.0,0,Support Portal
TKT00091,2025-01-18 16:36:00,2025-01-19 00:57:17,2025-01-19 00:57:17,CUST0035,Email,High,Webhook Failure,Integrations,Resolved,8,4.0,0,Integration Dashboard
TKT00092,2025-04-26 16:38:00,2025-04-27 02:43:53,2025-04-27 02:43:53,CUST0187,Chat,Medium,OAuth Issue,Integrations,Resolved,32,3.0,0,Integration Dashboard
TKT00093,2025-03-04 12:33:00,2025-03-05 05:57:27,2025-03-05 05:57:27,CUST0130,Email,Medium,Access Request,Account,Resolved,86,1.0,0,Integration Dashboard
TKT00094,2025-05-12 17:42:00,2025-05-13 20:19:03,2025-05-13 20:19:03,CUST0224,Web Form,Medium,Login Issue,Technical,Resolved,92,3.0,0,Support Portal
TKT00095,2025-02-01 17:01:00,,2025-02-03 14:01:00,CUST0067,Web Form,Low,API Error,Integrations,Pending,94,,0,CRM
TKT00096,2025-06-19 11:43:00,2025-06-19 20:26:41,2025-06-19 20:26:41,CUST0009,Chat,High,Slow Performance,Technical,Resolved,50,2.0,0,CRM
TKT00097,2025-04-30 11:30:00,2025-05-01 20:25:33,2025-05-01 20:25:33,CUST0165,API Monitoring,Low,Payment Failed,Billing,Resolved,175,3.0,0,Support Portal
TKT00098,2025-01-16 08:50:00,,2025-01-17 20:50:00,CUST0015,Email,Medium,Slow Performance,Technical,Open,33,,0,Integration Dashboard
TKT00099,2025-05-19 11:06:00,2025-05-20 06:33:31,2025-05-20 06:33:31,CUST0195,Chat,High,Plan Change,Account,Resolved,36,3.0,0,Support Portal
TKT00100,2025-04-24 08:57:00,2025-04-24 21:28:00,2025-04-24 21:28:00,CUST0296,Email,Medium,Login Issue,Technical,Resolved,54,5.0,0,Support Portal
TKT00101,2025-06-03 15:57:00,2025-06-03 22:20:10,2025-06-03 22:20:10,CUST0100,Web Form,High,Login Issue,Technical,Resolved,27,4.0,0,CRM
TKT00102,2025-03-20 12:41:00,2025-03-22 02:32:09,2025-03-22 02:32:09,CUST0122,Chat,Low,Invoice Issue,Billing,Resolved,156,3.0,0,CRM
TKT00103,04/05/2025 07:50,2025-05-05 08:22:48,2025-05-05 08:22:48,CUST0029,API Monitoring,Low,Refund Request,Billing,Resolved,76,4.0,0,Support Portal
TKT00104,2025-01-28 07:04:00,,2025-01-30 22:04:00,CUST0012,API Monitoring,Medium,Application Bug,Technical,Open,62,,0,Support Portal
TKT00105,2025-03-16 15:32:00,2025-03-16 18:01:38,2025-03-16 18:01:38,CUST0275,Web Form,Critical,Plan Change,Account,Resolved,12,5.0,1,Support Portal
TKT00106,2025-03-14 08:04:00,2025-03-14 21:24:06,2025-03-14 21:24:06,CUST0074,Email,Medium,Login Issue,Technical,Resolved,66,5.0,0,Support Portal
TKT00107,2025-06-02 21:08:00,,2025-06-03 20:08:00,CUST0102,Email,Low,Account Closure,Account,Open,80,,0,CRM
TKT00108,2025-05-07 19:04:00,2025-05-08 07:15:21,2025-05-08 07:15:21,CUST0186,Web Form,Medium,Account Closure,Account,Resolved,110,3.0,0,Support Portal
TKT00109,2025-02-06 10:41:00,2025-02-07 19:34:30,2025-02-07 19:34:30,CUST0261,Chat,Medium,API Error,Integrations,Resolved,87,3.0,0,Support Portal
TKT00110,2025-04-27 15:14:00,2025-04-27 20:55:04,2025-04-27 20:55:04,CUST0166,Chat,High,Webhook Failure,Integrations,Resolved,46,3.0,1,Integration Dashboard
TKT00111,2025-03-25 19:52:00,2025-03-28 00:47:23,2025-03-28 00:47:23,CUST0108,Web Form,Low,Webhook Failure,Integrations,Resolved,357,4.0,0,Integration Dashboard
TKT00112,2025-06-14 21:49:00,2025-06-15 03:24:52,2025-06-15 03:24:52,CUST0060,Web Form,Critical,Application Bug,Technical,Resolved,12,2.0,0,Support Portal
TKT00113,2025-01-13 19:53:00,2025-01-14 13:11:41,2025-01-14 13:11:41,CUST0172,Email,Medium,OAuth Issue,Integrations,Resolved,57,4.0,0,Integration Dashboard
TKT00114,2025-05-18 12:20:00,2025-05-19 10:53:42,2025-05-19 10:53:42,CUST0152,Web Form,High,Slow Performance,Technical,Resolved,18,4.0,0,Support Portal
TKT00115,2025-04-24 10:03:00,2025-04-25 04:17:28,2025-04-25 04:17:28,CUST0265,Web Form,Medium,OAuth Issue,Integrations,Resolved,51,4.0,0,Support Portal
TKT00116,Feb 27 2025 19:44,2025-02-28 11:41:56,2025-02-28 11:41:56,CUST0061,Email,Medium,Webhook Failure,Integrations,Resolved,57,4.0,1,Integration Dashboard
TKT00117,2025-03-05 21:52:00,2025-03-06 17:51:56,2025-03-06 17:51:56,CUST0265,Email, high ,Slow Performance,Technical,Resolved,96,3.0,1,Integration Dashboard
TKT00118,2025-05-15 19:35:00,2025-05-16 05:31:44,2025-05-16 05:31:44,CUST0019,Email,Medium,Webhook Failure,,Resolved,90,3.0,0,Support Portal
TKT00119,2025-01-14 17:05:00,2025-01-14 21:56:09,2025-01-14 21:56:09,CUST0098,API Monitoring,High,Account Closure,Account,Resolved,15,5.0,0,Integration Dashboard
TKT00120,2025-05-16 14:35:00,2025-05-17 07:39:33,2025-05-17 07:39:33,CUST0114,Email,Low,Refund Request,Billing,resolved,149,4.0,0,CRM
TKT00121,2025-02-20 21:55:00,2025-02-23 09:30:20,2025-02-23 09:30:20,CUST0021,Email,Low,Slow Performance,Technical,Resolved,115,5.0,1,CRM
TKT00122,2025-04-07 08:55:00,2025-04-10 00:18:57,2025-04-10 00:18:57,CUST0284,Email,Medium,Application Bug,Technical,Resolved,25,3.0,0,CRM
TKT00123,2025-03-17 14:49:00,,2025-03-18 11:49:00,CUST0035,Email,Medium,Account Closure,Account,Pending,69,,0,Integration Dashboard
TKT00124,2025-04-27 10:35:00,2025-04-28 14:35:32,2025-04-28 14:35:32,CUST0286,Chat,Low,Application Bug,Technical,Resolved,73,4.0,0,Support Portal
TKT00125,2025-02-24 11:22:00,2025-02-25 02:27:13,2025-02-25 02:27:13,CUST0093,Email,High,Slow Performance,Technical,Resolved,37,3.0,0,Support Portal
TKT00126,2025-02-02 08:00:00,2025-02-03 01:54:23,2025-02-03 01:54:23,CUST0045,Web Form,Medium,Refund Request,Billing,Resolved,48,3.0,0,CRM
TKT00127,2025-01-10 14:50:00,2025-01-11 04:34:04,2025-01-11 04:34:04,CUST0016,Chat,Critical,Webhook Failure,Integrations,Resolved,7,4.0,0,Support Portal
TKT00128,2025-01-02 14:20:00,2025-01-03 14:18:24,2025-01-03 14:18:24,CUST0240,Chat,Medium,Account Closure,Account,Resolved,75,2.0,0,Support Portal
TKT00129,2025-02-20 12:14:00,2025-02-22 00:52:21,2025-02-22 00:52:21,CUST0029,Web Form,Medium,Invoice Issue,Billing,Resolved,112,3.0,0,Integration Dashboard
TKT00130,2025-04-20 20:20:00,2025-04-21 10:40:50,2025-04-21 10:40:50,CUST0206,API Monitoring,Medium,Slow Performance,Technical,Resolved,111,2.0,0,Support Portal
TKT00131,2025-02-03 16:22:00,,2025-02-04 16:22:00,CUST0122,Web Form, low ,OAuth Issue,Integrations,Open,76,,0,Integration Dashboard
TKT00132,2025-03-17 17:48:00,2025-03-18 06:51:35,2025-03-18 06:51:35,CUST0030,Web Form,Medium,Payment Failed,Billing,Resolved,39,4.0,0,CRM
TKT00133,2025-05-25 19:15:00,2025-05-25 17:15:00,2025-05-25 23:35:42,CUST0264,Email,High,OAuth Issue,Integrations,Resolved,28,4.0,0,Support Portal
TKT00134,2025-06-14 12:52:00,2025-06-14 16:11:19,2025-06-14 16:11:19,CUST0217,Chat,High,OAuth Issue,Integrations,Resolved,36,2.0,0,Support Portal
TKT00135,2025-05-19 20:52:00,2025-05-20 02:41:25,2025-05-20 02:41:25,CUST0019,Email,High,Payment Failed,Billing,Resolved,31,2.0,0,Integration Dashboard
TKT00136,2025-04-04 15:36:00,2025-04-06 02:54:10,2025-04-06 02:54:10,CUST0009,Web Form,Medium,OAuth Issue,Integrations,Resolved,83,3.0,0,Support Portal
TKT00137,2025-01-09 12:12:00,2025-01-10 05:14:18,2025-01-10 05:14:18,CUST0108,Web Form,Medium,Payment Failed,Billing,Resolved,65,4.0,0,CRM
TKT00138,2025-03-28 13:54:00,2025-03-30 20:01:43,2025-03-30 20:01:43,CUST0204,Chat,Low,API Error,Integrations,Resolved,261,3.0,0,Support Portal
TKT00139,2025-05-16 19:30:00,2025-05-18 11:56:41,2025-05-18 11:56:41,CUST0221,Email,Low,Login Issue,Technical,Resolved,90,5.0,0,CRM
TKT00140,2025-06-27 11:28:00,2025-06-27 19:23:18,2025-06-27 19:23:18,CUST0082,Chat,Medium,Refund Request,BILLING ,Resolved,79,5.0,1,Integration Dashboard
TKT00141,2025-01-05 18:04:00,2025-01-06 03:01:33,2025-01-06 03:01:33,CUST0287,Chat,Medium,Application Bug,Technical,Resolved,40,3.0,0,Support Portal
TKT00142,2025-06-04 21:36:00,,2025-06-06 14:36:00,CUST0060,Email,Medium,Slow Performance,Technical,Open,44,,0,Support Portal
TKT00143,2025-04-14 18:11:00,,2025-04-16 00:11:00,CUST0123,API Monitoring,Medium,Login Issue,Technical,Pending,24,,0,CRM
TKT00144,2025-06-18 10:01:00,2025-06-18 21:55:26,2025-06-18 21:55:26,CUST0167,Chat,Medium,Slow Performance,Technical,Resolved,41,4.0,0,CRM
TKT00145,2025-05-03 11:26:00,,2025-05-03 18:26:00,CUST0193,Web Form,High,Slow Performance,Technical,Open,46,,0,Support Portal
TKT00146,2025-03-07 18:53:00,2025-03-11 05:08:01,2025-03-11 05:08:01,CUST0159,Chat,Low,Webhook Failure,Integrations,Resolved,169,2.0,0,Support Portal
TKT00147,2025-01-23 17:10:00,2025-01-24 16:50:10,2025-01-24 16:50:10,CUST0219,Web Form,Medium,Payment Failed,Billing,Resolved,37,5.0,1,Support Portal
TKT00148,2025-02-21 21:14:00,2025-02-22 03:11:20,2025-02-22 03:11:20,CUST0291,Web Form, high ,Slow Performance,Technical,resolved,21,5.0,0,Support Portal
TKT00149,2025-02-28 13:28:00,2025-02-28 23:09:02,2025-02-28 23:09:02,CUST0177,Chat,Medium,Plan Change,Account,Resolved,72,3.0,0,Integration Dashboard
TKT00150,Mar 24 2025 18:12,2025-03-27 06:12:07,2025-03-27 06:12:07,CUST0183,Web Form,Low,Login Issue,Technical,Resolved,56,2.0,0,Integration Dashboard
TKT00151,2025-02-16 09:26:00,2025-02-17 11:57:51,2025-02-17 11:57:51,CUST0273,Chat,Low,Access Request,Account,Resolved,113,4.0,0,Integration Dashboard
TKT00152,2025-01-12 13:33:00,,2025-01-12 14:33:00,CUST0233,API Monitoring,Low,Slow Performance,Technical,Pending,165,,0,CRM
TKT00153,2025-01-08 18:00:00,,2025-01-10 11:00:00,CUST0186,Email,Medium,Payment Failed,Billing,Open,100,,0,Support Portal
TKT00154,2025-03-17 08:11:00,2025-03-18 04:01:59,2025-03-18 04:01:59,CUST0042,Email,High,API Error,Integrations,Resolved,27,3.0,0,CRM
TKT00155,2025-03-08 07:53:00,,2025-03-11 05:53:00,CUST0171,API Monitoring,Medium,Application Bug,Technical,Open,27,,0,Support Portal
TKT00156,2025-04-10 15:23:00,2025-04-11 12:43:41,2025-04-11 12:43:41,CUST0283,Email,Medium,Invoice Issue,Billing,Resolved,26,4.0,0,Support Portal
TKT00157,2025-05-09 08:46:00,,2025-05-09 20:46:00,CUST0003,Email,Medium,Invoice Issue,Billing,Open,70,,0,Support Portal
TKT00158,2025-03-08 11:15:00,2025-03-09 03:57:46,2025-03-09 03:57:46,CUST0047,Web Form,Medium,Refund Request,BILLING ,Resolved,134,3.0,1,Support Portal
TKT00159,2025-01-21 18:15:00,2025-01-23 15:48:13,2025-01-23 15:48:13,CUST0127,Web Form,Low,Application Bug,Technical,Resolved,84,4.0,0,Support Portal
TKT00160,2025-01-02 13:42:00,2025-01-11 20:35:36,2025-01-11 20:35:36,CUST0071,Email,Low,Application Bug,Technical,Resolved,144,2.0,0,Integration Dashboard
TKT00161,2025-02-05 20:05:00,2025-02-06 22:57:50,2025-02-06 22:57:50,CUST0016,API Monitoring,Medium,Application Bug,Technical,Resolved,48,3.0,1,CRM
TKT00162,2025-06-01 14:55:00,,2025-06-02 13:55:00,CUST0035,Email,Critical,,Account,Open,19,,0,Support Portal
TKT00163,2025-03-28 12:56:00,2025-03-28 23:46:24,2025-03-28 23:46:24,CUST0254,Chat,Critical,Login Issue,Technical,Resolved,7,3.0,0,Support Portal
TKT00164,2025-04-30 08:55:00,2025-05-01 22:15:35,2025-05-01 22:15:35,CUST0019,Email,Medium,Payment Failed,Billing,Resolved,38,2.0,0,Support Portal
